"Domaine","Zone","Quartier","Bloc","Ilot","Nom du secteur fonctionnel","Niveau d'urbanisme","Description","Code Secteur Fonctionnel Interministériel","Nom Long","Eléments justifiants la création du secteur","Couleur","Indice de confiance"
"Fonctions Transverses Interministérielles","Alerte & Gestion de crises",,,,"Alerte & Gestion de crises","Zone",,"CFFD-E5D2-55F7-60BF","Interministériel::POS du SI des Services Publics Français::Fonctions Transverses Interministérielles::Alerte & Gestion de crises",,"Bleu",
"Fonctions Transverses Interministérielles","Lutte contre la fraude",,,,"Lutte contre la fraude","Zone",,"CFFD-E5E0-55F7-60EE","Interministériel::POS du SI des Services Publics Français::Fonctions Transverses Interministérielles::Lutte contre la fraude",,"Bleu",
"Données Transverses","Information géographiques","Code Officiel Géographique",,,"Code Officiel Géographique","Quartier",,"CFFD-E689-55F7-6159","Interministériel::POS du SI des Services Publics Français::Données Transverses::Information géographiques::Code Officiel Géographique",,,
"Données Transverses","Nomenclatures","Diplômes",,,"Diplômes","Quartier",,"CFFD-E6BB-55F7-6189","Interministériel::POS du SI des Services Publics Français::Données Transverses::Nomenclatures::Diplômes",,,
"Commune ou EPCI","Prévention de la délinquance",,,,"Prévention de la délinquance","Zone","  (source : N/A )","CFFD-0775-55F8-65EB","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Prévention de la délinquance",,"Bleu",
"Commune ou EPCI","Protection locale",,,,"Protection locale","Zone","Protection de l’ordre public local par le biais du pouvoir de police du maire. Les pouvoirs de police spéciale énumérés à l’article L5211-9-2 CGCT peuvent faire l’objet d’un transfert au président de l’EPCI auquel appartient la commune. (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-communes.html )","CFFD-077D-55F8-661A","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Protection locale",,"Bleu",
"Commune ou EPCI","Organisation des élections",,,,"Organisation des élections","Zone","Fonctions électorales (organisation des élections) exercées par le maire et les adjoints (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-communes.html )","CFFD-0786-55F8-6649","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Organisation des élections",,"Bleu",
"Commune ou EPCI","Organisation des services publics de proximité",,,,"Organisation des services publics de proximité","Zone","Concerne l'ensemble des fonctions dédiées à l'organisation des services publics locaux et leur tarification  (exemples : L'eau et l'assainissement,  l'éducation, le funéraire,  jeunesse et sport, les déchets, la restauration scolaire) gérées par les communes (source : http://www.collectivites-locales.gouv.fr/gerer-services-publics-locaux )","CFFD-0A1D-55F8-6679","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Organisation des services publics de proximité",,"Bleu",
"Commune ou EPCI","Tourisme",,,,"Tourisme","Zone","Concerne la capacité de la commune, par délibération du conseil municipal, à instituer un office de tourisme dont elle détermine le statut (compétence transférée de plein droit à l’ensemble des EPCI au plus tard au 1er janvier 2017). (source : http://www.collectivites-locales.gouv.fr/files/files/Annexe_1_Tableau_des_competences_Communes___Departements___Regions_14012016.pdf )","CFFD-0A3E-55F8-66A8","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Tourisme",,"Bleu",
"Commune ou EPCI","Ecoles pré-élémentaires et élémentaires",,,,"Ecoles pré-élémentaires et élémentaires","Zone","Concerne l'ensemble des fonctions relatives à l'enseignement du premier degré (exemples : création, implantation des écoles, logement des instituteurs) (source : http://www.collectivites-locales.gouv.fr/leducation-0#__RefHeading__476_1423777299 )","CFFD-0A58-55F8-66D7","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Ecoles pré-élémentaires et élémentaires",,"Bleu",
"Commune ou EPCI","Enfance",,,,"Enfance","Zone","Concerne l'ensemble des fonctions liées à la possibilité de soutenir, financer ou gérer des structures d’accueil de la petite enfance (crèches, haltes garderies, jardins d’éveil, etc.)  (source : http://www.collectivites-locales.gouv.fr/files/files/tableau_repartition_competences_valideCILapublier.pdf )","CFFD-0A64-55F8-6706","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Enfance",,"Bleu",
"Commune ou EPCI","Personnes âgées",,,,"Personnes âgées","Zone","Concerne l'ensemble des fonctions dédiées à  mise en œuvre des services sociaux et sanitaires auprès des personnes âgées (source : http://www.collectivites-locales.gouv.fr/files/files/Action_sociale_et_sante.pdf )","CFFD-11FF-55F8-6736","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Personnes âgées",,"Bleu",
"Commune ou EPCI","Subventions, activités, et équipements sportifs",,,,"Subventions, activités, et équipements sportifs","Zone","Concerne l'ensemble des fonctions dédiées à l'organisation des pratiques sportives (exemples : construction d'equipements, subventions) (source : http://www.collectivites-locales.gouv.fr/jeunesse-et-sport )","CFFD-1210-55F8-6765","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Subventions, activités, et équipements sportifs",,"Bleu",
"Commune ou EPCI","Entretien des voies communales",,,,"Entretien des voies communales","Zone","Concerne l'ensemble des fonctions dédiées aux compétences des mairies en matière de voirie. (source : N/A )","CFFD-13B6-55F8-6795","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Entretien des voies communales",,"Bleu",
"Commune ou EPCI","Urbanisme, PLU et permis de construire",,,,"Urbanisme, PLU et permis de construire","Zone","Concerne l'ensemble des fonctions permettant la mise en œuvre des politiques d'aménagement du territoire / des communes (exemple : plan d'urbanisme, cadrage, demande d'autorisation d'urbanisme…) (source : http://www.collectivites-locales.gouv.fr/habitat-logement-politique-ville-et-urbanisme )","CFFD-13C6-55F8-67C4","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Urbanisme, PLU et permis de construire",,"Bleu",
"Commune ou EPCI","Transports urbains",,,,"Transports urbains","Zone","Concerne l'ensemble des fonctions dédiées à l’organisation des transports urbains de personnes hors RIF et des transports non urbains sur leur territoire : organisation des transports publics et des services de covoiturage, autopartage, service public de location de bicyclettes, transport de marchandises et logistique_x000D_
urbaine. (source : http://www.collectivites-locales.gouv.fr/files/files/Annexe_1_Tableau_des_competences_Communes___Departements___Regions_14012016.pdf )","CFFD-1421-55F8-67F3","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Transports urbains",,"Bleu",
"Commune ou EPCI","Ports de plaisance",,,,"Ports de plaisance","Zone","Concerne l'ensemble des fonctions dédiées à la création, l'aménagement, l'exploitation des ports de plaisance  (source : http://www.collectivites-locales.gouv.fr/files/files/Annexe_1_Tableau_des_competences_Communes___Departements___Regions_14012016.pdf )","CFFD-1427-55F8-6822","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Ports de plaisance",,"Bleu",
"Commune ou EPCI","Gestion de l'eau",,,,"Gestion de l'eau","Zone","Ensemble des fonctions relatives à la compétence obligatoire des communes en matière de distribution d’eau potable. (source : http://www.collectivites-locales.gouv.fr/leau-et-lassainissement#__RefHeading__366_679210132 )","CFFD-143C-55F8-6851","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Gestion de l'eau",,"Bleu",
"Commune ou EPCI","Espaces naturels",,,,"Espaces naturels","Zone","Concerne l'ensemble des fonctions dédiées à la réalisation d’inventaires locaux du patrimoine naturel et à l'institution de zones de protection du patrimoine architectural et urbain (ZPPAU) [proposition ou accord des communes].  (source : http://www.collectivites-locales.gouv.fr/files/files/tableau_repartition_competences_valideCILapublier.pdf )","CFFD-1446-55F8-6880","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Espaces naturels",,"Bleu",
"Commune ou EPCI","Gestion des déchets",,,,"Gestion des déchets","Zone"," Ensemble des actions relartives aux modalités de la collecte des déchets et à  la gestion des déchets ménagers et assimilés.  (source : http://www.collectivites-locales.gouv.fr/dechets )","CFFD-1453-55F8-68AF","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Gestion des déchets",,"Bleu",
"Commune ou EPCI","Energie",,,,"Energie","Zone","Concerne l'ensemble des fonctions relatives à la gestion des réseaux de distribution publique d'éléctricité et de gaz ( exemples :productions d'energies renouveables, maitrise de l'energie, contrats de concessions) par les communes (source : http://www.collectivites-locales.gouv.fr/lenergie-et-communications-electroniques-0#__RefHeading__448_1473345838 )","CFFD-1459-55F8-68DE","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Energie",,"Bleu",
"Commune ou EPCI","Réseaux câblés et télécommunication",,,,"Réseaux câblés et télécommunication","Zone","Concerne l'ensemble des fonctions relatives à l'établissement et à l'exploitation des réseaux de communications électroniques (exemples : réseaux satellitaires, réseaux permettant l’accès à l’Internet haut ou très haut débit ou réseaux destinés à la diffusion de services audiovisuels par câble) (source : http://www.collectivites-locales.gouv.fr/lenergie-et-communications-electroniques-0#__RefHeading__460_1473345838 )","CFFD-1466-55F8-690D","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Réseaux câblés et télécommunication",,"Bleu",
"Commune ou EPCI","Salle de spectacle et manifestation culturelle",,,,"Salle de spectacle et manifestation culturelle","Zone","Concerne l'ensemble des fonctions relatives au developpement de la culture au sein des communes à travers la gestion des salles de spectacles et l'organisation de manifestations culturelles (source : http://www.collectivites-locales.gouv.fr/culture-et-sport )","CFFD-1479-55F8-693C","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Salle de spectacle et manifestation culturelle",,"Bleu",
"Commune ou EPCI","Ecoles de musique, de danse et d'art",,,,"Ecoles de musique, de danse et d'art","Zone","Concerne l'ensemble des fonctions dédiées à l'enseignement initial de la musique, de la danse et de l’art dramatique en_x000D_
vue d’une pratique amateur ainsi que l’offre d’éducation artistique en partenariat avec les établissements scolaires. (source : http://www.collectivites-locales.gouv.fr/files/files/tableau_repartition_competences_valideCILapublier.pdf )","CFFD-1485-55F8-696B","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Ecoles de musique, de danse et d'art",,"Bleu",
"Commune ou EPCI","Bibliothèques et Musées",,,,"Bibliothèques et Musées","Zone","Concerne l'ensemble des fonctions permettant la création, l'organisation et le financement des bibliothèques municipales et musées par les communes  (source : http://www.collectivites-locales.gouv.fr/culture-1 )","CFFD-1490-55F8-699A","Interministériel::POS du SI des Services Publics Français::Commune ou EPCI::Bibliothèques et Musées",,"Bleu",
"Département","Protection contre les incendies & opération de secours",,,,"Protection contre les incendies & opération de secours","Zone","Compétences du service départemental d’incendie et de secours qui est chargé de la protection contre les incendies et gère les sapeurs-pompiers du département. Il participe également aux opérations de secours en cas d’accidents, de catastrophes naturelles (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-departements.html )","CFFD-17C7-55F8-69CB","Interministériel::POS du SI des Services Publics Français::Département::Protection contre les incendies & opération de secours",,"Bleu",
"Département","Aides directes ou indirectes au développement économique",,,,"Aides directes ou indirectes au développement économique","Zone","Concerne l'ensemble des fonctions dédiées à la  coordination des actions de développement économique des collectivités territoriales et de leurs groupements.  (source : http://www.collectivites-locales.gouv.fr/dispositif-des-interventions-economiques-des-collectivites-territoriales-et-groupements )","CFFD-17DA-55F8-69FA","Interministériel::POS du SI des Services Publics Français::Département::Aides directes ou indirectes au développement économique",,"Bleu",
"Département","Collèges",,,,"Collèges","Zone","Concerne l'ensemble des fonctions dédiées à la gestion des collèges au niveau départemental _x000D_
- Propriété : la construction, la reconstruction, l’extension, les grosses réparations, l'équipement et le fonctionnement_x000D_
- Transports scolaires :  l'organisation et du fonctionnement des transports scolaires_x000D_
- Organisation de la restauration scolaire : _x000D_
- Recrutement et gestion des personnels non enseignants_x000D_
- Définition de la carte scolaire  (source : http://www.education.gouv.fr/cid199/les-collectivites-territoriales.html#Le_département )","CFFD-17E1-55F8-6A29","Interministériel::POS du SI des Services Publics Français::Département::Collèges",,"Bleu",
"Département","Personnes handicapées",,,,"Personnes handicapées","Zone","Concerne l'ensemble des fonctions dédiées aux actions sociales en faveur des personnes handicapées (plan d'alerte et d'urgance, tutelle administrative et financière, prise en charge des frais d’hébergement en foyer et de transport individuel des élèves et étudiants handicapés vers les établissements scolaires et universitaires …) (source : http://www.collectivites-locales.gouv.fr/files/files/tableau_repartition_competences_valideCILapublier.pdf )","CFFD-17EC-55F8-6A58","Interministériel::POS du SI des Services Publics Français::Département::Personnes handicapées",,"Bleu",
"Département","Aide sociale et précarité énergétiques",,,,"Aide sociale et précarité énergétiques","Zone","Concerne l'ensemble des fonctions dédiées à la mesure et à la lutte contre les  phénomènes de précarité énergétique et  à l'assurance du suivi des aides financières publiques et privées apportées aux ménages précaire (source : http://www.logement.gouv.fr/la-lutte-contre-la-precarite-energetique )","CFFD-17F7-55F8-6A87","Interministériel::POS du SI des Services Publics Français::Département::Aide sociale et précarité énergétiques",,"Bleu",
"Département","Soutien administratif et technique",,,,"Soutien administratif et technique","Zone","Prise en charge de conditions matérielles de l'enseignement (bâtiments, équipements, dépenses de fonctionnement), gestion des agents (source : http://www.collectivites-locales.gouv.fr/lenfance-et-lenseignement_x000D_
http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-departements.html )","CFFD-1811-55F8-6ABE","Interministériel::POS du SI des Services Publics Français::Département::Soutien administratif et technique",,"Bleu",
"Département","Entretien des voies rurales et en extensions",,,,"Entretien des voies rurales et en extensions","Zone","Ensemble des fonctionnalités nécessaires à la gestion des voies rurales et à leur entretien ou extension (source : N/A )","CFFD-182B-55F8-6AF0","Interministériel::POS du SI des Services Publics Français::Département::Entretien des voies rurales et en extensions",,"Bleu",
"Département","Aménagement rural",,,,"Aménagement rural","Zone","Concerne l'ensemble des fonctions dédiéesà l'établissement d’un programme d’aide à l’équipement rural. (source : http://www.collectivites-locales.gouv.fr/files/files/Annexe_1_Tableau_des_competences_Communes___Departements___Regions_14012016.pdf )","CFFD-1836-55F8-6B1F","Interministériel::POS du SI des Services Publics Français::Département::Aménagement rural",,"Bleu",
"Département","Transport routier hors milieu urbain",,,,"Transport routier hors milieu urbain","Zone","Compétence de la région => gestion des services non urbains de transport, réguliers ou à la demande  (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-regions.html )","CFFD-1843-55F8-6B4E","Interministériel::POS du SI des Services Publics Français::Département::Transport routier hors milieu urbain",,"Bleu",
"Département","Ports maritime de commerce et de pèche",,,,"Ports maritime de commerce et de pèche","Zone","Gestion des ports maritimes et intérieurs, ou de certains aérodromes (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-departements.html )","CFFD-1851-55F8-6B7D","Interministériel::POS du SI des Services Publics Français::Département::Ports maritime de commerce et de pèche",,"Bleu",
"Département","Archives",,,,"Archives","Zone","Actions relatives à la compétence liée au services d’archives départementales (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-departements.html )","CFFD-1858-55F8-6BAC","Interministériel::POS du SI des Services Publics Français::Département::Archives",,"Bleu",
"Région","Aménagement numérique",,,,"Aménagement numérique","Zone","Ensemble des actions relatives à l'amenagement nuérique du territoire  (source : http://www.ant.developpement-durable.gouv.fr/amenagement-numerique-des-territoires-chronologie-r61.html )","CFFD-186F-55F8-6BDC","Interministériel::POS du SI des Services Publics Français::Région::Aménagement numérique",,"Bleu",
"Région","Soutien à l'innovation et Programmes Européens",,,,"Soutien à l'innovation et Programmes Européens","Zone","Définition des orientations en matière de développement économique (art. 2 de la loi NOTRe). Elaboration d'un schéma régional de développement économique, d’innovation et d’internationalisation (SRDEII) qui définit notamment ""les orientations en matière d’aides aux entreprises, de soutien à l’internationalisation et d’aides à l’investissement immobilier et à l’innovation des entreprises, ainsi que les orientations relatives à l’attractivité du territoire régional. (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-regions.html )","CFFD-1884-55F8-6C0B","Interministériel::POS du SI des Services Publics Français::Région::Soutien à l'innovation et Programmes Européens",,"Bleu",
"Région","Internationalisation des entreprises",,,,"Internationalisation des entreprises","Zone","Concerne l'ensemble des fonctions dédiées aux plans régionaux d’internationalisation des entreprises (PRIE) (source : http://www.collectivites-locales.gouv.fr/etat-regions-partenariat-gagnant-pour-commerce-exterieur-francais-et-lattractivite-territoire )","CFFD-1890-55F8-6C3A","Interministériel::POS du SI des Services Publics Français::Région::Internationalisation des entreprises",,"Bleu",
"Région","Lycées d'enseignement général",,,,"Lycées d'enseignement général","Zone","Concerne l'ensemble des fonctions dédiées à la construction, l'entretien et le fonctionnement des lycées d’enseignement général  (source : http://www.interieur.gouv.fr/Archives/Archives-elections/Elections-regionales-2015/Les-competences-des-regions )","CFFD-18A4-55F8-6C69","Interministériel::POS du SI des Services Publics Français::Région::Lycées d'enseignement général",,"Bleu",
"Région","Lycées agricoles",,,,"Lycées agricoles","Zone","Concerne l'ensemble des fonctions dédiées à la construction, l'entretien et le fonctionnement des lycées et établissements d’enseignement agricole. (source : http://www.interieur.gouv.fr/Archives/Archives-elections/Elections-regionales-2015/Les-competences-des-regions )","CFFD-18B2-55F8-6C98","Interministériel::POS du SI des Services Publics Français::Région::Lycées agricoles",,"Bleu",
"Région","Formation professionnelle continue et d'apprentissage",,,,"Formation professionnelle continue et d'apprentissage","Zone","Concerne l'ensemble des fonctions dédiées à la définition et mise en œuvre des politiques d’apprentissage et de formation professionnelle des jeunes et des adultes à la recherche d’un emploi ou d’une nouvelle orientation professionnelle. (source : N/A )","CFFD-18C3-55F8-6CC7","Interministériel::POS du SI des Services Publics Français::Région::Formation professionnelle continue et d'apprentissage",,"Bleu",
"Région","Subventions sportives",,,,"Subventions sportives","Zone","Concerne l'ensemble des fonctions dédiées à l'attribution des subventions accordées au niveau territorial qui ont pour objet d’aider le développement de la pratique sportive de tous les publics sur tout le territoire, à tous les âges, par le soutien aux projets des associations sportives locales. (source : http://www.cnds.sports.gouv.fr/Comment-ca-marche )","CFFD-18CC-55F8-6CF6","Interministériel::POS du SI des Services Publics Français::Région::Subventions sportives",,"Bleu",
"Région","Aménagement et développement durable du territoire et biodiversité",,,,"Aménagement et développement durable du territoire et biodiversité","Zone","Aménagement du territoire, par l’élaboration d’un schéma régional d’aménagement, de développement durable et d’égalité des territoires (source : http://www.vie-publique.fr/decouverte-institutions/institutions/collectivites-territoriales/competences-collectivites-territoriales/quelles-sont-competences-exercees-par-regions.html )","CFFD-18DF-55F8-6D25","Interministériel::POS du SI des Services Publics Français::Région::Aménagement et développement durable du territoire et biodiversité",,"Bleu",
"Région","Transport ferroviaire",,,,"Transport ferroviaire","Zone","Concerne l'ensemble des fonctions dédiées l'organisation des transports régionaux de voyageurs, la région est en charge de l’organisation des services réguliers non urbains d'intérêt régional, notamment par :_x000D_
- L’organisation des transports ferroviaires de voyageurs via le réseau des trains express régionaux (TER), qui sont effectués sur le réseau ferré national (à l'exception des services d'intérêt national et des services internationaux);_x000D_
- La signature de conventions avec la SNCF pour fixer les conditions d'exploitation et de financement des services ferroviaires régionaux ;_x000D_
- La participation au financement des infrastructures telles que les nouvelles lignes de TGV ;_x000D_
- L’organisation des transports routiers non urbains de personnes d’intérêt régional (par exemple les transports de substitution par autocar aux services ferroviaires) ;_x000D_
- L’établissement des plans régionaux des transports (relatifs aux services réguliers non urbains d’intérêt régional) ;_x000D_
- L’organisation des transports de voyageurs en Île-de-France par le Syndicatdes transports d'Île-de-France (STIF) ;_x000D_
- L’élaboration des schémas régionaux des infrastructures et des transports ;_x000D_
- La détermination du contenu du service public de transport régional de voyageurs (dessertes, tarification, qualité du service, information de l'usager …). (source : http://www.collectivites-locales.gouv.fr/competences-des-collectivites-territoriales-matiere-transports )","CFFD-18EC-55F8-6D54","Interministériel::POS du SI des Services Publics Français::Région::Transport ferroviaire",,"Bleu",
"Région","Ports maritime fluviaux et Aérodromes",,,,"Ports maritime fluviaux et Aérodromes","Zone","Les collectivités territoriales exercent des compétences multiples en matière d’organisation des transports, notamment les transports publics, les transports scolaires, ainsi que les transports aériens et maritimes. (source : N/A )","CFFD-1907-55F8-6D7C","Interministériel::POS du SI des Services Publics Français::Région::Ports maritime fluviaux et Aérodromes",,"Bleu",
"Région","Protection du patrimoine",,,,"Protection du patrimoine","Zone","Concerne l'ensemble des fonctions dédiées à la gestion des crédits affectés à l’entretien et à la restauration des_x000D_
immeubles, orgues et objets mobiliers protégés n’appartenant pas à l’État ou à ses établissements, à titre expérimental. (source : http://www.collectivites-locales.gouv.fr/files/files/Annexe_1_Tableau_des_competences_Communes___Departements___Regions_14012016.pdf )","CFFD-190F-55F8-6DAB","Interministériel::POS du SI des Services Publics Français::Région::Protection du patrimoine",,"Bleu",
"Données Transverses","Autorité Administrative","Structures et Organisations","Poste",,"Poste","Bloc","Permet de décrire un métier dans une organisation_x000D_
","FC4B-FD11-5608-5759","Interministériel::POS du SI des Services Publics Français::Données Transverses::Autorité Administrative::Structures et Organisations::Poste",,,
"Données Transverses","Autorité Administrative","Structures et Organisations","Unité Structurelle",,"Unité Structurelle","Bloc","Permet de définir l'organigramme structurelle de l'entité (ministère, direction centrale ou organisme de tutelle)","FC4B-FD35-5608-579E","Interministériel::POS du SI des Services Publics Français::Données Transverses::Autorité Administrative::Structures et Organisations::Unité Structurelle",,,
"Pilotage & Contrôle","Performance & Décisionnel","Pilotage opérationnel","Pilotage opérationnel des ressources humaines",,"Pilotage opérationnel des ressources humaines","Bloc","Regroupe les activités couvrant les opérations de pilotage opérationnel des Ressources Humaines avec un suivi :_x000D_
-     des effectifs,_x000D_
-     de la masse salariale,_x000D_
-     de la mobilité,_x000D_
-     de la formation.","FC4B-FEFE-5608-59B5","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Performance & Décisionnel::Pilotage opérationnel::Pilotage opérationnel des ressources humaines",,"Rouge",
"Données Transverses","Information géographiques","Référentiel Grande Echelle",,,"Référentiel Grande Echelle","Quartier",,"FB8F-0156-5609-6367","Interministériel::POS du SI des Services Publics Français::Données Transverses::Information géographiques::Référentiel Grande Echelle",,,
"Pilotage & Contrôle","Performance & Décisionnel","Pilotage stratégique des ressources humaines",,,"Pilotage stratégique des ressources humaines","Quartier","Regroupe les activités  couvrant les opérations liées au pilotage stratégique des Ressources Humaines :_x000D_
-     Réalisation de simulations et de prévisions afin de mettre en œuvre la politique RH adaptée_x000D_
-     Élaboration des budgets prévisionnels","FC4B-0322-5609-5AB0","Interministériel::POS du SI des Services Publics Français::Pilotage & Contrôle::Performance & Décisionnel::Pilotage stratégique des ressources humaines",,"Rouge",
"Ressources & Support","Actes Administratifs",,,,"Actes Administratifs","Zone","Regroupe les fonctionnalités liées à la production et au suivi d’un texte administratif, en vue de procéder à un changement de la situation juridique d’un ou plusieurs agents._x000D_
_x000D_
Permet de produire les différents types de texte juridique, à savoir les arrêtés individuels/collectifs, les décisions individuelles/collectives, les notifications et les contrats/avenants. La production consiste à stocker physiquement les différents éléments du texte (visas, articles, …) qui seront ensuite édités._x000D_
_x000D_
Permet également de suivre l’avancement du statut de l’acte (créé, émis, signé, annulé)._x000D_
_x000D_
Remarque : La production des actes administratifs n’est pas uniquement liée à la zone RH et pourrait concerner également d’autres zones du POS. La question du positionnement de ce quartier est donc à suivre mais reste, pour le moment, dans la zone RH.","FC4B-0669-5609-5C90","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Actes Administratifs",,"Vert",
"Ressources & Support","Recours",,,,"Recours","Zone","Regroupe les activités liées à l'enregistrement d'un recours en lien avec les aspects RH soumis par l'agent, à son suivi et à la prise en compte de son résultat dans le dossier de l'agent.","FC4B-06A1-5609-5CD3","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Recours",,"Vert",
"Ressources & Support","Recrutement et mobilité","Recrutement",,,"Recrutement","Quartier","Ce bloc comprends l’ensemble des fonctionnalités destinées à la gestion des dossiers de candidats (interne ou externe ayant postulé à une offre) et de lauréats (personne ayant réussi un concours mais non encore affecté). _x000D_
_x000D_
Il couvre les opérations de :_x000D_
-   recrutements des lauréats après concours (recrutement de titulaires sur concours)_x000D_
-   recrutement des titulaires par liste d’aptitude_x000D_
-   recrutements des contractuels._x000D_
-   recrutements sans concours (sur titre, handicapés, emploi réservé)._x000D_
-   recrutements sur PACTE_x000D_
-   recrutements des stagiaires/élèves_x000D_
-   recrutement sur nomination_x000D_
_x000D_
Ce bloc ne comprend pas l’organisation et la réalisation des concours et examens à proprement parlé (qui relève de la zone ""Enseignement & Gestion des concours"").","08CC-0E53-560C-1516","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Recrutement et mobilité::Recrutement",,"Vert",
"Ressources & Support","Recrutement et mobilité","Publication des postes",,,"Publication des postes","Quartier","Permet de gérer les fonctionnalités de sélection et diffusion des postes à pourvoir","08CC-0EAC-560C-155A","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Recrutement et mobilité::Publication des postes",,"Vert",
"Ressources & Support","Recrutement et mobilité","Mobilité",,,"Mobilité","Quartier","Permet de gérer les activités préalables à la mobilité interne ou externe d’un agent (changement d’affectation, PNA, détachement ou mise à disposition) au travers des campagnes de mutation :_x000D_
-   Recueil des souhaits des agents (vœux)_x000D_
-   Avis des instances paritaires","08CC-0EE0-560C-15B4","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Recrutement et mobilité::Mobilité",,"Vert",
"Ressources & Support","Formation","Identification et analyse des besoins de formation",,,"Identification et analyse des besoins de formation","Quartier","Permet de formaliser toutes les demandes de formations","08CC-116D-560C-1837","Interministériel::POS du SI des Services Publics Français::Ressources & Support::Formation::Identification et analyse des besoins de formation",,"Vert",
"MAA","Enseignement Agricole","Aides Sociales",,,"Aides Sociales","Quartier","Le quartier décrit les fonctionnalité et les informations portant sur le processus de demande et d’instruction des bourses d’étude.","C1DB-C4AA-5620-05D2","Interministériel::POS du SI des Services Publics Français::MAA::Enseignement Agricole::Aides Sociales",,"Bleu",
"MAA","Enseignement Agricole","Appui aux établissements",,,"Appui aux établissements","Quartier","Le quartier décrit les fonctionnalité et les informations concernant la mise en place de moyens complémentaires en direction des établissements et des populations en formation","C1DB-C4AA-5620-0623","Interministériel::POS du SI des Services Publics Français::MAA::Enseignement Agricole::Appui aux établissements",,"Bleu",
"MAA","Enseignement Agricole","Gestion de l’offre de formation",,,"Gestion de l’offre de formation","Quartier","Le quartier décrit les fonctionnalité et les informations liées au processus d’élaboration et de mise à jour du catalogue de formation, ainsi que la gestion de la carte scolaire.","C1DB-C4AA-5620-05E9","Interministériel::POS du SI des Services Publics Français::MAA::Enseignement Agricole::Gestion de l’offre de formation",,"Bleu",
"MAA","Enseignement Agricole","Gestion et suivi des apprenants",,,"Gestion et suivi des apprenants","Quartier","Le quartier décrit les fonctionnalité et les informations portant sur la gestion des inscriptions des apprenants suivant le cursus et les formations proposées par le ministère de l’enseignement supérieur.  Il s’agit également de suivre l’évolution des apprenants ainsi que leur orientation.","C1DB-C4AA-5620-05A0","Interministériel::POS du SI des Services Publics Français::MAA::Enseignement Agricole::Gestion et suivi des apprenants",,"Bleu",
"MAA","Enseignement Agricole","Organisation des examens et certifications",,,"Organisation des examens et certifications","Quartier","Le quartier décrit les fonctionnalité et les informations liées au processus d’organisation, de suivi des examens ainsi que la délivrance des titres, certificats et diplômes","C1DB-C4AA-5620-05BD","Interministériel::POS du SI des Services Publics Français::MAA::Enseignement Agricole::Organisation des examens et certifications",,"Bleu",
